电影名字,别名,电影链接,导演,主演,年份,国家,类型,评分,星级,评价人数,评论
玩具总动员3,Toy Story 3,https://movie.douban.com/subject/1858711/,李·昂克里奇LeeUnkrich,汤姆·汉克斯TomHanks,2010,美国,喜剧动画奇幻冒险,8.9,4.0,507243,跨度十五年的欢乐与泪水。
傲慢与偏见,Pride & Prejudice,https://movie.douban.com/subject/1418200/,乔·怀特JoeWright,凯拉·奈特莉KeiraKnightley,2005,法国英国美国,剧情爱情,8.7,4.0,787676,爱是摈弃傲慢与偏见之后的曙光。
新世界,신세계,https://movie.douban.com/subject/10437779/,朴勋政Hoon-jungPark,李政宰Jung-JaeLee,2013,韩国,剧情犯罪,8.9,4.0,425326,要做就做得狠一点，这样才能活下去。
釜山行,부산행,https://movie.douban.com/subject/25986180/,延尚昊Sang-hoYeon,孔侑YooGong,2016,韩国,动作惊悚灾难,8.6,4.0,1183438,揭露人性的丧尸题材力作。
神偷奶爸,Despicable Me,https://movie.douban.com/subject/3287562/,皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud,,2010,美国法国,喜剧动画冒险,8.7,4.0,936590,Mr. I Don't Care其实也有Care的时候。
被解救的姜戈,Django Unchained,https://movie.douban.com/subject/6307447/,昆汀·塔伦蒂诺QuentinTarantino,杰米·福克斯JamieFoxx,2012,美国,剧情动作西部冒险,8.8,4.0,600852,热血沸腾，那个低俗、性感的无耻混蛋又来了。
玛丽和马克思,Mary and Max,https://movie.douban.com/subject/3072124/,亚当·艾略特AdamElliot,托妮·科莱特ToniCollette,2009,澳大利亚美国,剧情喜剧动画,9.0,4.5,418536,你是我最好的朋友，你是我唯一的朋友 。
告白,自白,https://movie.douban.com/subject/4268598/,中岛哲也TetsuyaNakashima,松隆子TakakoMatsu,2010,日本,剧情悬疑,8.8,4.0,665112,没有一人完全善，也没有一人完全恶。
大鱼,Big Fish,https://movie.douban.com/subject/1291545/,蒂姆·波顿TimBurton,伊万·麦克格雷格EwanMcGregor,2003,美国,剧情家庭奇幻冒险,8.8,4.0,562579,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
哪吒闹海,Prince Nezha's Triumph Against Dragon King,https://movie.douban.com/subject/1307315/,王树忱ShuchenWang/严定宪DingxianYan,梁正晖Zhenghui,1979,中国大陆,冒险动画奇幻,9.2,4.5,255399,想你时你在闹海。
